City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,broome,42.2506,-75.833,-16.28,75,100,10.8,US,1675482869
85,grand gaube,-20.0064,57.6608,26.88,82,66,1.34,MU,1675482870
86,severo-kurilsk,50.6789,156.125,-1.94,88,100,5.31,RU,1675482860
87,balingasay,16.3573,119.8564,27.72,61,70,2.9,PH,1675482870
88,ossora,59.2353,163.0719,-11.88,90,100,2.88,RU,1675482871
89,vostok,46.4856,135.8833,-12.98,78,82,3.38,RU,1675482291
90,inuvik,68.3499,-133.7218,-34.52,75,75,0.0,CA,1675482871
91,saskylakh,71.9167,114.0833,-43.3,100,63,1.52,RU,1675482829
92,tuy hoa,13.0833,109.3,25.15,82,97,3.51,VN,1675482855
93,ponta do sol,32.6667,-17.1,15.56,49,10,2.57,PT,1675482857
94,klaksvik,62.2266,-6.589,8.51,93,100,11.59,FO,1675482291
95,punta arenas,-53.15,-70.9167,10.06,66,0,9.26,CL,1675482789
96,gelibolu,40.4103,26.6708,6.92,65,98,4.82,TR,1675482872
97,jamestown,42.097,-79.2353,-10.23,58,100,8.75,US,1675482578
98,sonoita,31.85,-112.8333,15.67,34,95,1.12,MX,1675482872
99,lebu,-37.6167,-73.65,16.75,76,0,6.84,CL,1675482842
100,faanui,-16.4833,-151.75,27.64,75,15,6.94,PF,1675482873
101,caldwell,43.6629,-116.6874,1.08,73,100,3.09,US,1675482873
102,khatanga,71.9667,102.5,-35.84,100,69,1.82,RU,1675482816
103,tambopata,-12.7333,-69.1833,21.9,99,100,1.24,PE,1675482874
104,trairi,-3.2778,-39.2689,24.98,87,59,4.07,BR,1675482828
105,dromolaxia,34.8761,33.586,9.43,91,20,3.13,CY,1675482874
106,puerto ayora,-0.7393,-90.3518,25.31,91,82,0.87,EC,1675482827
107,mahanoro,-19.9,48.8,23.96,93,99,3.83,MG,1675482875
108,trinidad,-14.8333,-64.9,21.35,99,100,0.7,BO,1675482875
109,vanavara,60.34,102.2797,-19.36,100,100,1.43,RU,1675482875
110,rikitea,-23.1203,-134.9692,25.88,73,100,1.91,PF,1675482808
111,synya,65.3718,58.0387,-11.89,97,100,1.35,RU,1675482876
112,cherskiy,68.75,161.3,-33.12,100,92,0.14,RU,1675482876
